filename,total,duplicates,original
/kaggle/input/classroom-data/photos/photos/img1.jpg,96,53,43
/kaggle/input/classroom-data/photos/photos/img2.jpg,103,56,47
/kaggle/input/classroom-data/photos/photos/img3.jpg,90,45,45
/kaggle/input/classroom-data/photos/photos/img4.jpg,94,46,48
/kaggle/input/classroom-data/photos/photos/img5.jpg,51,29,22
/kaggle/input/classroom-data/photos/photos/img6.jpg,98,49,49
/kaggle/input/classroom-data/photos/photos/img7.jpg,120,60,60
/kaggle/input/classroom-data/photos/photos/img8.jpg,101,50,51
/kaggle/input/classroom-data/photos/photos/img9.jpg,33,8,25
/kaggle/input/classroom-data/photos/photos/img10.jpg,47,23,24
/kaggle/input/classroom-data/photos/photos/img11.jpg,16,6,10
/kaggle/input/classroom-data/photos/photos/img12.jpg,31,15,16
/kaggle/input/classroom-data/photos/photos/img13.jpg,84,35,49
/kaggle/input/classroom-data/photos/photos/img14.jpg,56,20,36
/kaggle/input/classroom-data/photos/photos/img15.jpg,64,25,39
/kaggle/input/classroom-data/photos/photos/img16.jpg,43,10,33
/kaggle/input/classroom-data/photos/photos/img17.jpg,61,28,33
/kaggle/input/classroom-data/photos/photos/img18.jpg,104,52,52
/kaggle/input/classroom-data/photos/photos/img19.jpg,29,10,19
/kaggle/input/classroom-data/photos/photos/img20.jpg,28,13,15
/kaggle/input/classroom-data/photos/photos/img21.jpg,26,13,13
/kaggle/input/classroom-data/photos/photos/img22.jpg,33,16,17
/kaggle/input/classroom-data/photos/photos/img23.jpg,52,23,29
/kaggle/input/classroom-data/photos/photos/img24.jpg,32,15,17
/kaggle/input/classroom-data/photos/photos/img25.jpg,36,16,20
/kaggle/input/classroom-data/photos/photos/img26.jpg,96,48,48
/kaggle/input/classroom-data/photos/photos/img27.jpg,42,21,21
/kaggle/input/classroom-data/photos/photos/img28.jpg,33,16,17
/kaggle/input/classroom-data/photos/photos/img29.jpg,23,3,20
/kaggle/input/classroom-data/photos/photos/img30.jpg,56,26,30
