image_file_name,count
img141.jpg,54
img142.jpg,60
img143.jpg,63
img144.jpg,61
img145.jpg,29
img146.jpg,33
img147.jpg,0
img148.jpg,54
img151.jpg,0
img152.jpg,0
img153.jpg,61
img154.jpg,51
img155.jpg,54
img156.jpg,57
img157.jpg,62
img158.jpg,61
img159.jpg,29
img160.jpg,36
img161.jpg,0
img162.jpg,49
img165.jpg,0
img166.jpg,0
img167.jpg,60
img168.jpg,47
img169.jpg,53
img170.jpg,58
img171.jpg,60
img172.jpg,60
img173.jpg,27
img174.jpg,37
img175.jpg,0
img176.jpg,51
img179.jpg,0
img180.jpg,0
img181.jpg,56
img182.jpg,46
img183.jpg,54
img184.jpg,60
img185.jpg,61
img186.jpg,57
img187.jpg,26
img188.jpg,35
img189.jpg,0
img190.jpg,54
img193.jpg,0
img194.jpg,0
img195.jpg,61
img196.jpg,46
img197.jpg,53
img198.jpg,59
img199.jpg,60
img200.jpg,58
img201.jpg,26
img202.jpg,36
img203.jpg,0
img204.jpg,54
img207.jpg,0
img208.jpg,0
img209.jpg,61
img210.jpg,46
img211.jpg,54
img212.jpg,60
img213.jpg,58
img214.jpg,54
img215.jpg,27
img216.jpg,35
img217.jpg,0
img218.jpg,59
img221.jpg,0
img222.jpg,0
img223.jpg,62
img224.jpg,48
img225.jpg,53
img226.jpg,59
img227.jpg,61
img228.jpg,58
img229.jpg,27
img230.jpg,37
img231.jpg,0
img232.jpg,57
img235.jpg,0
img236.jpg,0
img237.jpg,60
img238.jpg,47
