image_file_name,count
img01.jpg,53
img02.jpg,57
img03.jpg,55
img04.jpg,55
img05.jpg,42
img06.jpg,51
img07.jpg,31
img08.jpg,30
img100.jpg,48
img101.jpg,46
img102.jpg,55
img103.jpg,42
img104.jpg,51
img105.jpg,0
img106.jpg,30
img109.jpg,21
img11.jpg,31
img110.jpg,16
img111.jpg,5
img112.jpg,27
img113.jpg,30
img114.jpg,50
img115.jpg,49
img116.jpg,53
img117.jpg,41
img118.jpg,48
img119.jpg,0
img12.jpg,31
img120.jpg,29
img123.jpg,17
img124.jpg,15
img125.jpg,2
img126.jpg,29
img127.jpg,29
img128.jpg,46
img129.jpg,45
img13.jpg,0
img130.jpg,52
img131.jpg,43
img132.jpg,51
img133.jpg,0
img134.jpg,29
img137.jpg,17
img138.jpg,17
img139.jpg,2
img14.jpg,45
img140.jpg,17
img15.jpg,36
img16.jpg,52
img17.jpg,53
img18.jpg,55
img19.jpg,42
img20.jpg,52
img21.jpg,30
img22.jpg,30
img25.jpg,30
img26.jpg,27
img27.jpg,0
img28.jpg,31
img29.jpg,33
img30.jpg,48
img31.jpg,52
img32.jpg,54
img33.jpg,42
img34.jpg,20
img35.jpg,22
img36.jpg,31
img39.jpg,27
img40.jpg,23
img41.jpg,0
img42.jpg,32
img43.jpg,35
img44.jpg,54
img45.jpg,52
img46.jpg,51
img47.jpg,42
img48.jpg,51
img49.jpg,16
img50.jpg,30
img53.jpg,28
img54.jpg,23
img55.jpg,2
img56.jpg,32
img57.jpg,28
img58.jpg,50
img59.jpg,50
img60.jpg,53
img61.jpg,44
img62.jpg,51
img63.jpg,14
img64.jpg,30
img67.jpg,25
img68.jpg,24
img69.jpg,2
img70.jpg,33
img71.jpg,30
img72.jpg,50
img73.jpg,52
img74.jpg,52
img75.jpg,41
img76.jpg,50
img77.jpg,13
img78.jpg,29
img81.jpg,24
img82.jpg,22
img83.jpg,2
img84.jpg,27
img86.jpg,52
img87.jpg,50
img88.jpg,55
img89.jpg,44
img90.jpg,50
img91.jpg,4
img92.jpg,28
img95.jpg,21
img96.jpg,20
img97.jpg,3
img98.jpg,26
img99.jpg,33
